"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","alreadycontact","previous","poutcome","priceidx","confidx","euribor3m","y"
"1183","[18.0,41.3)","student","single","basic.4y","unknown","yes","no","telephone","may","thu",3,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"602","[18.0,41.3)","housemaid","married","basic.4y","no","unknown","unknown","cellular","aug","tue",14,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"3938","[41.3,64.7)","technician","divorced","professional.course","no","yes","no","cellular","jul","tue",2,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"3689","[18.0,41.3)","student","single","professional.course","no","no","no","cellular","nov","mon",2,0,1,"failure","[92.2,93.1)","[-31.7,-26.9]","[0.635,2.840)","no"
"2823","[41.3,64.7)","unknown","single","high.school","no","yes","no","cellular","jul","wed",3,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"3251","[18.0,41.3)","blue-collar","married","basic.6y","no","yes","yes","telephone","nov","tue",1,0,0,"nonexistent","[93.1,93.9)","[-46.0,-41.2)","[2.840,5.045]","no"
"101","[18.0,41.3)","services","single","university.degree","no","yes","no","cellular","mar","mon",1,1,1,"success","[93.1,93.9)","[-36.5,-31.7)","[0.635,2.840)","yes"
"1952","[18.0,41.3)","self-employed","married","university.degree","no","no","yes","telephone","may","thu",6,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"3097","[18.0,41.3)","entrepreneur","married","university.degree","unknown","yes","no","cellular","aug","mon",2,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"884","[41.3,64.7)","admin.","married","high.school","no","unknown","unknown","telephone","may","wed",2,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"1299","[18.0,41.3)","self-employed","married","university.degree","no","no","no","cellular","aug","tue",2,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"946","[41.3,64.7)","admin.","single","university.degree","unknown","no","no","cellular","aug","thu",2,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"583","[41.3,64.7)","admin.","married","high.school","no","no","no","cellular","aug","fri",1,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"1691","[18.0,41.3)","technician","married","professional.course","no","unknown","unknown","telephone","may","tue",1,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"1687","[18.0,41.3)","services","married","basic.9y","no","no","no","cellular","apr","mon",2,0,0,"nonexistent","[93.1,93.9)","[-50.8,-46.0)","[0.635,2.840)","no"
"1504","[18.0,41.3)","technician","single","university.degree","no","yes","yes","cellular","nov","fri",1,0,0,"nonexistent","[93.1,93.9)","[-46.0,-41.2)","[2.840,5.045]","no"
"622","[41.3,64.7)","entrepreneur","married","basic.4y","no","yes","no","cellular","may","tue",2,0,0,"nonexistent","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","yes"
"566","[41.3,64.7)","technician","married","professional.course","unknown","yes","no","telephone","may","tue",9,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"950","[18.0,41.3)","blue-collar","married","basic.9y","no","no","yes","telephone","may","thu",1,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"1898","[18.0,41.3)","services","married","high.school","unknown","no","no","telephone","may","tue",1,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"1083","[41.3,64.7)","services","divorced","high.school","no","yes","no","telephone","may","tue",1,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"3492","[18.0,41.3)","services","married","high.school","no","no","no","telephone","may","thu",3,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"187","[18.0,41.3)","blue-collar","married","basic.6y","unknown","no","no","cellular","may","mon",2,0,1,"failure","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"1799","[18.0,41.3)","admin.","single","university.degree","no","yes","no","telephone","jun","tue",1,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"3250","[41.3,64.7)","blue-collar","married","basic.4y","unknown","yes","no","telephone","may","tue",2,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"496","[41.3,64.7)","technician","married","professional.course","no","yes","no","telephone","may","tue",1,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"2281","[18.0,41.3)","admin.","single","university.degree","unknown","yes","no","cellular","aug","fri",1,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"840","[41.3,64.7)","admin.","married","high.school","no","yes","no","cellular","jul","mon",22,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"519","[41.3,64.7)","entrepreneur","married","professional.course","unknown","no","no","telephone","jun","mon",1,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"3060","[18.0,41.3)","unemployed","single","university.degree","no","no","no","telephone","jul","tue",1,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"4116","[18.0,41.3)","admin.","married","high.school","no","yes","no","telephone","jul","fri",1,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"1521","[18.0,41.3)","blue-collar","single","basic.6y","no","no","no","telephone","jun","fri",2,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"2700","[18.0,41.3)","technician","single","high.school","no","no","no","telephone","may","wed",1,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"385","[41.3,64.7)","services","married","high.school","unknown","yes","no","cellular","aug","thu",1,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"1558","[41.3,64.7)","self-employed","divorced","university.degree","no","no","no","cellular","mar","fri",2,0,1,"failure","[93.1,93.9)","[-36.5,-31.7)","[0.635,2.840)","no"
"1113","[18.0,41.3)","services","married","basic.9y","unknown","yes","no","cellular","nov","mon",1,0,0,"nonexistent","[93.1,93.9)","[-46.0,-41.2)","[2.840,5.045]","no"
"3304","[18.0,41.3)","blue-collar","single","high.school","no","yes","no","cellular","may","wed",1,0,0,"nonexistent","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"1819","[41.3,64.7)","blue-collar","married","basic.6y","unknown","no","no","telephone","jun","thu",1,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"3284","[18.0,41.3)","management","married","university.degree","no","yes","yes","cellular","jul","thu",2,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"3292","[18.0,41.3)","blue-collar","married","basic.4y","no","yes","no","cellular","jul","thu",4,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"3218","[41.3,64.7)","blue-collar","married","basic.4y","unknown","yes","no","telephone","jul","wed",1,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"1782","[41.3,64.7)","admin.","single","high.school","no","yes","yes","telephone","apr","wed",3,0,0,"nonexistent","[93.1,93.9)","[-50.8,-46.0)","[0.635,2.840)","no"
"3055","[41.3,64.7)","services","married","professional.course","no","yes","no","telephone","may","mon",1,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"2548","[41.3,64.7)","admin.","single","university.degree","no","no","no","cellular","aug","thu",1,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"2875","[18.0,41.3)","unemployed","single","professional.course","no","no","no","telephone","jun","fri",2,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"3","[18.0,41.3)","admin.","single","university.degree","no","yes","no","cellular","sep","thu",1,1,1,"success","[92.2,93.1)","[-31.7,-26.9]","[0.635,2.840)","no"
"1923","[18.0,41.3)","blue-collar","married","basic.4y","unknown","yes","no","telephone","may","wed",1,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"891","[41.3,64.7)","blue-collar","married","basic.9y","unknown","yes","no","cellular","apr","tue",4,0,1,"failure","[93.1,93.9)","[-50.8,-46.0)","[0.635,2.840)","no"
"1536","[41.3,64.7)","services","married","basic.4y","no","no","yes","cellular","aug","wed",1,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"2477","[41.3,64.7)","management","married","university.degree","no","no","no","telephone","may","wed",2,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"1422","[64.7,88.0]","retired","married","high.school","no","no","no","cellular","sep","mon",1,0,0,"nonexistent","[93.9,94.8]","[-41.2,-36.5)","[0.635,2.840)","yes"
"449","[18.0,41.3)","admin.","single","high.school","unknown","yes","no","telephone","jul","thu",1,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"984","[41.3,64.7)","entrepreneur","married","professional.course","no","yes","yes","cellular","nov","tue",1,0,0,"nonexistent","[93.1,93.9)","[-46.0,-41.2)","[2.840,5.045]","no"
"2698","[41.3,64.7)","management","divorced","university.degree","no","no","no","cellular","nov","mon",1,0,0,"nonexistent","[93.1,93.9)","[-46.0,-41.2)","[2.840,5.045]","no"
"4077","[41.3,64.7)","admin.","married","university.degree","no","no","no","cellular","nov","thu",1,0,1,"failure","[93.1,93.9)","[-46.0,-41.2)","[2.840,5.045]","no"
"3182","[41.3,64.7)","admin.","single","high.school","no","no","no","cellular","nov","wed",1,0,1,"failure","[93.1,93.9)","[-46.0,-41.2)","[2.840,5.045]","yes"
"416","[41.3,64.7)","housemaid","married","high.school","no","no","no","telephone","jun","tue",1,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"1755","[18.0,41.3)","blue-collar","married","basic.9y","no","yes","no","telephone","jun","fri",2,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"3973","[18.0,41.3)","technician","married","university.degree","no","yes","no","telephone","jun","fri",2,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"3601","[18.0,41.3)","unknown","single","high.school","unknown","yes","no","cellular","jul","thu",3,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"3574","[18.0,41.3)","entrepreneur","married","basic.9y","no","no","no","telephone","may","tue",2,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"706","[18.0,41.3)","blue-collar","married","basic.9y","no","no","yes","telephone","jul","mon",1,0,0,"nonexistent","[93.9,94.8]","[-41.2,-36.5)","[0.635,2.840)","no"
"527","[41.3,64.7)","unemployed","married","basic.4y","no","no","no","cellular","may","wed",2,0,0,"nonexistent","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"2631","[18.0,41.3)","technician","married","professional.course","no","no","no","telephone","may","tue",1,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"1384","[18.0,41.3)","student","single","high.school","no","no","no","cellular","nov","wed",2,0,0,"nonexistent","[92.2,93.1)","[-31.7,-26.9]","[0.635,2.840)","no"
"2645","[18.0,41.3)","technician","married","professional.course","no","no","no","telephone","jun","wed",9,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"1290","[18.0,41.3)","admin.","married","high.school","unknown","yes","no","cellular","jul","tue",4,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"756","[41.3,64.7)","admin.","married","university.degree","no","yes","yes","cellular","aug","fri",1,0,1,"failure","[92.2,93.1)","[-31.7,-26.9]","[0.635,2.840)","yes"
"3148","[41.3,64.7)","self-employed","married","university.degree","no","no","no","cellular","jul","thu",1,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"377","[41.3,64.7)","unknown","single","basic.9y","unknown","yes","no","telephone","jun","mon",3,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"4110","[41.3,64.7)","retired","married","high.school","no","no","no","cellular","oct","wed",1,0,0,"nonexistent","[92.2,93.1)","[-31.7,-26.9]","[0.635,2.840)","no"
"2057","[18.0,41.3)","blue-collar","married","professional.course","no","yes","no","telephone","may","tue",1,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"2412","[41.3,64.7)","blue-collar","married","basic.9y","unknown","yes","no","telephone","may","mon",4,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"1338","[18.0,41.3)","services","single","high.school","unknown","no","no","telephone","may","thu",1,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"1963","[41.3,64.7)","housemaid","married","basic.6y","no","yes","no","cellular","aug","tue",1,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"3834","[41.3,64.7)","blue-collar","married","basic.4y","no","no","no","cellular","jul","mon",1,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"1939","[41.3,64.7)","entrepreneur","divorced","unknown","no","no","no","cellular","jul","tue",9,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"4031","[18.0,41.3)","admin.","married","university.degree","no","yes","no","telephone","sep","wed",1,0,0,"nonexistent","[93.9,94.8]","[-41.2,-36.5)","[0.635,2.840)","no"
"4112","[18.0,41.3)","technician","married","university.degree","no","no","yes","cellular","jun","fri",1,0,1,"failure","[93.9,94.8]","[-41.2,-36.5)","[0.635,2.840)","no"
"2443","[18.0,41.3)","admin.","married","university.degree","no","no","no","cellular","aug","wed",5,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"1648","[41.3,64.7)","retired","married","high.school","no","no","no","cellular","nov","tue",1,0,0,"nonexistent","[93.1,93.9)","[-46.0,-41.2)","[2.840,5.045]","no"
"590","[18.0,41.3)","management","married","university.degree","no","yes","no","cellular","aug","wed",3,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"3750","[18.0,41.3)","technician","married","university.degree","no","yes","no","cellular","may","thu",1,0,0,"nonexistent","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"1208","[18.0,41.3)","blue-collar","married","basic.6y","no","no","no","telephone","may","wed",1,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"244","[41.3,64.7)","admin.","single","university.degree","no","no","no","cellular","aug","thu",1,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","yes"
"3797","[18.0,41.3)","services","married","high.school","no","yes","no","telephone","may","tue",4,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"2886","[18.0,41.3)","entrepreneur","single","university.degree","no","yes","no","cellular","nov","thu",1,0,1,"failure","[93.1,93.9)","[-46.0,-41.2)","[2.840,5.045]","yes"
"570","[41.3,64.7)","blue-collar","married","basic.4y","unknown","yes","yes","cellular","may","wed",1,0,0,"nonexistent","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"2199","[41.3,64.7)","services","married","basic.4y","unknown","yes","no","cellular","aug","thu",1,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"3819","[18.0,41.3)","student","single","university.degree","no","no","no","telephone","may","thu",4,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"2343","[41.3,64.7)","technician","married","professional.course","no","yes","yes","cellular","aug","wed",3,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"1619","[41.3,64.7)","admin.","single","professional.course","no","no","no","telephone","may","tue",4,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"2591","[18.0,41.3)","blue-collar","married","basic.6y","unknown","no","no","telephone","may","wed",3,0,1,"failure","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"1279","[41.3,64.7)","blue-collar","married","basic.6y","unknown","yes","no","telephone","may","mon",3,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"1230","[18.0,41.3)","technician","single","high.school","no","no","no","telephone","jul","wed",11,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"879","[41.3,64.7)","retired","married","basic.4y","unknown","yes","no","cellular","aug","wed",1,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"1477","[18.0,41.3)","services","married","high.school","unknown","yes","yes","telephone","jun","wed",2,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"3931","[41.3,64.7)","housemaid","married","basic.4y","no","yes","no","telephone","may","thu",1,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"616","[41.3,64.7)","unknown","married","unknown","unknown","no","no","cellular","aug","mon",4,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"364","[18.0,41.3)","services","single","university.degree","no","no","no","cellular","jul","thu",6,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"567","[41.3,64.7)","admin.","married","basic.4y","no","yes","no","cellular","apr","fri",1,0,1,"failure","[93.1,93.9)","[-50.8,-46.0)","[0.635,2.840)","no"
"2754","[18.0,41.3)","services","married","high.school","no","no","no","cellular","apr","tue",2,0,0,"nonexistent","[93.1,93.9)","[-50.8,-46.0)","[0.635,2.840)","no"
"2471","[18.0,41.3)","admin.","married","high.school","no","no","no","telephone","may","fri",1,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"3555","[18.0,41.3)","services","married","professional.course","no","yes","no","telephone","may","fri",1,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"2684","[18.0,41.3)","technician","married","high.school","no","no","no","cellular","may","mon",1,0,1,"failure","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"2938","[64.7,88.0]","retired","married","university.degree","no","yes","no","cellular","aug","thu",1,0,1,"failure","[92.2,93.1)","[-31.7,-26.9]","[0.635,2.840)","no"
"2077","[18.0,41.3)","technician","married","university.degree","no","yes","no","cellular","may","mon",2,0,0,"nonexistent","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"2629","[18.0,41.3)","unemployed","divorced","high.school","no","no","yes","telephone","jun","thu",1,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"3274","[41.3,64.7)","blue-collar","married","basic.9y","unknown","yes","no","cellular","aug","mon",1,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"3131","[18.0,41.3)","unemployed","married","university.degree","no","no","no","telephone","jun","fri",1,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"3901","[18.0,41.3)","technician","divorced","professional.course","no","no","no","cellular","aug","thu",8,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"1749","[41.3,64.7)","retired","married","professional.course","unknown","no","yes","cellular","jul","tue",4,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"1241","[18.0,41.3)","technician","single","professional.course","no","yes","yes","cellular","nov","fri",1,0,0,"nonexistent","[93.1,93.9)","[-46.0,-41.2)","[2.840,5.045]","no"
"1629","[18.0,41.3)","services","married","high.school","no","yes","no","cellular","jul","mon",2,0,0,"nonexistent","[92.2,93.1)","[-36.5,-31.7)","[0.635,2.840)","no"
"42","[18.0,41.3)","admin.","single","university.degree","no","yes","yes","cellular","aug","thu",3,1,1,"success","[92.2,93.1)","[-31.7,-26.9]","[0.635,2.840)","yes"
"731","[18.0,41.3)","technician","single","university.degree","no","yes","yes","cellular","apr","mon",6,0,1,"failure","[93.1,93.9)","[-50.8,-46.0)","[0.635,2.840)","no"
"3350","[41.3,64.7)","self-employed","divorced","university.degree","no","yes","no","cellular","jul","thu",1,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"919","[41.3,64.7)","technician","married","professional.course","no","yes","no","telephone","mar","mon",5,0,2,"failure","[93.1,93.9)","[-36.5,-31.7)","[0.635,2.840)","no"
"4096","[18.0,41.3)","admin.","single","university.degree","no","no","yes","cellular","aug","fri",2,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"305","[18.0,41.3)","blue-collar","married","basic.4y","no","yes","no","cellular","jul","mon",1,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
"976","[18.0,41.3)","admin.","married","unknown","no","yes","no","cellular","sep","thu",1,0,1,"failure","[93.9,94.8]","[-41.2,-36.5)","[0.635,2.840)","no"
"2907","[18.0,41.3)","admin.","single","university.degree","no","no","no","cellular","aug","wed",1,0,0,"nonexistent","[93.1,93.9)","[-36.5,-31.7)","[2.840,5.045]","no"
"3364","[18.0,41.3)","entrepreneur","single","university.degree","no","yes","no","telephone","may","thu",9,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"1975","[18.0,41.3)","blue-collar","divorced","basic.6y","no","yes","yes","telephone","may","wed",1,0,0,"nonexistent","[93.9,94.8]","[-36.5,-31.7)","[2.840,5.045]","no"
"1539","[18.0,41.3)","self-employed","single","university.degree","no","yes","no","cellular","may","mon",3,0,0,"nonexistent","[92.2,93.1)","[-50.8,-46.0)","[0.635,2.840)","no"
"978","[41.3,64.7)","admin.","divorced","university.degree","no","no","no","telephone","jun","fri",2,0,0,"nonexistent","[93.9,94.8]","[-46.0,-41.2)","[2.840,5.045]","no"
